action,label,regret,note,trial,optimal_action,Q_value_0,Q_value_1,Q_value_2,Q_value_3,Q_value_4,U_value_0,U_value_1,U_value_2,U_value_3,U_value_4,UCB_value_0,UCB_value_1,UCB_value_2,UCB_value_3,UCB_value_4
2,0,0.6,action = 2,148,2,0.51253,0.54322,0.61054,0.47556,0.53111,0.4998399743918047,0.4981264899601305,0.4876269065586927,0.4993996395673509,0.49902905727021546,3.0117298719590235,3.0338524498006523,3.0486745327934632,2.9725581978367543,3.0262552863510774
2,1,-0.4,action = 2,149,2,0.52473,0.56725,0.62649,0.48175,0.53731,0.49938962744534454,0.4954593827954013,0.48373546489791297,0.49966989102806664,0.498608062510024,3.0216781372267225,3.0445469139770065,3.0451673244895647,2.980099455140333,3.0303503125501194
2,1,-0.4,action = 2,150,2,0.50643,0.56185,0.61614,0.5,0.54965,0.499959998399872,0.4961652950378533,0.48632293797434645,0.5,0.49753391844174805,3.00622999199936,3.0426764751892668,3.0477546898717325,3.0,3.03731959220874
2,1,-0.4,action = 2,151,2,0.52492,0.56818,0.61036,0.51853,0.5495,0.49937961512260387,0.49532817404222024,0.4876679197978887,0.49965988432132513,0.49754396790635497,3.0218180756130195,3.044820870211101,3.0486995989894434,3.0168294216066256,3.037219839531775
2,1,-0.4,action = 2,152,2,0.5,0.54941,0.59253,0.5,0.53116,0.5,0.4975540171679855,0.49136544445046193,0.5,0.49902905727021546,3.0,3.0371800858399274,3.0493572222523095,3.0,3.0263052863510773
1,0,0.6,action = 1,153,2,0.51229,0.56199,0.63919,0.46903,0.52497,0.49984997749324744,0.4961451400548029,0.4802395235713112,0.49903907662626984,0.49937961512260387,3.0115398874662374,3.042715700274014,3.040387617856556,2.964225383131349,3.0218680756130194
1,1,-0.4,action = 1,154,2,0.51201,0.56185,0.64497,0.50619,0.53735,0.4998599803945101,0.4961652950378533,0.47851854718495496,0.499959998399872,0.4985980344927164,3.0113099019725507,3.0426764751892668,3.0375627359247748,3.00598999199936,3.030340172463582
1,0,0.6,action = 1,155,2,0.53721,0.56208,0.64965,0.51248,0.53735,0.49861809032565196,0.4961350622562368,0.47707441767506253,0.4998399743918047,0.4985980344927164,3.0303004516282597,3.042755311281184,3.0350220883753125,3.0116798719590236,3.030340172463582
1,0,0.6,action = 1,156,2,0.53073,0.57414,0.65029,0.48752,0.52478,0.49905911473491793,0.4944694126030446,0.4768752457404347,0.4998399743918047,0.49938962744534454,3.02602557367459,3.0464870630152228,3.0346662287021737,2.9867198719590236,3.021728137226723
4,1,-0.4,action = 4,157,2,0.55589,0.54969,0.6379,0.53097,0.56208,0.49687020437937307,0.4975238687741524,0.48060378691808076,0.49903907662626984,0.4961350622562368,3.0402410218968656,3.037309343870762,3.0409189345904037,3.026165383131349,3.042755311281184
4,1,-0.4,action = 4,158,2,0.55514,0.56175,0.6221,0.53111,0.57404,0.49695070178036777,0.4961753722223625,0.48486080476771887,0.49902905727021546,0.49448963588734596,3.039893508901839,3.0426268611118124,3.0464040238385945,3.0262552863510774,3.04648817943673
4,0,0.6,action = 4,159,2,0.53735,0.58033,0.63908,0.51853,0.59253,0.4985980344927164,0.4935078520145348,0.48027075696944116,0.49965988432132513,0.49136544445046193,3.030340172463582,3.047869260072674,3.0404337848472056,3.0168294216066256,3.0493572222523095
4,1,-0.4,action = 4,160,2,0.53726,0.55565,0.63402,0.48761,0.56208,0.498608062510024,0.4968903299521938,0.4817053041019997,0.49984997749324744,0.4961350622562368,3.0303003125501196,3.040101649760969,3.0425465205099984,2.9868598874662373,3.042755311281184
4,1,-0.4,action = 4,161,2,0.54317,0.55551,0.66477,0.50586,0.58357,0.49813652747013043,0.4969104547099004,0.4720699100768868,0.499969999099946,0.4929705873579072,3.0338526373506522,3.040062273549502,3.025119550384434,3.00570999549973,3.048422936789536
2,1,-0.4,action = 2,162,2,0.51244,0.56185,0.63323,0.52497,0.56208,0.49984997749324744,0.4961652950378533,0.4819232304008596,0.49937961512260387,0.4961350622562368,3.011689887466237,3.0426764751892668,3.042846152004298,3.0218680756130194,3.042755311281184
