action,label,regret,note,trial,optimal_action,Q_value_0,Q_value_1,Q_value_2,Q_value_3,Q_value_4,U_value_0,U_value_1,U_value_2,U_value_3,U_value_4,UCB_value_0,UCB_value_1,UCB_value_2,UCB_value_3,UCB_value_4
0,0,0.6,action = 0,59,4,0.44416,0.41953,0.43173,0.43182,0.44402,0.11658379026778239,0.18061072590180557,0.12771113289564626,0.13461934669138748,0.08421025106517227,0.4674767580535565,0.4556521451803611,0.45727222657912925,0.4587438693382775,0.4608620502130345
4,1,-0.4,action = 4,60,4,0.43196,0.41357,0.41357,0.42586,0.46265,0.11224069483759797,0.18098257095199757,0.12797406718365456,0.13489650375101023,0.08438362484946807,0.4544081389675196,0.4497665141903995,0.4391648134367309,0.45283930075020207,0.4795267249698936
4,0,0.6,action = 4,61,4,0.45655,0.42586,0.44411,0.45021,0.48752,0.1124670304094641,0.18134752587100883,0.12823212941074572,0.1351685252077858,0.08277350775167454,0.47904340608189283,0.46212950517420176,0.46975642588214916,0.47724370504155716,0.504074701550335
4,1,-0.4,action = 4,62,4,0.44402,0.44411,0.44402,0.45031,0.49376,0.11268924200006886,0.18170583107413654,0.1284854895762916,0.1354355902567763,0.08126138304697501,0.4665578484000138,0.4804511662148273,0.46971709791525834,0.47739711805135526,0.510012276609395
4,1,-0.4,action = 4,63,4,0.44435,0.42572,0.43173,0.43801,0.48127,0.11290747116204043,0.18205771480799493,0.12873430907510164,0.13569786902303904,0.07983765385868799,0.4669314942324081,0.462131542961599,0.45747686181502034,0.4651495738046078,0.4972375307717376
4,0,0.6,action = 4,64,4,0.45026,0.43806,0.44402,0.44426,0.49995,0.11312185239780903,0.18240339395110258,0.12897874126352368,0.13595552315834933,0.07849398696510948,0.4728843704795618,0.47454067879022055,0.4698157482527048,0.47145110463166984,0.5156487973930219
4,1,-0.4,action = 4,65,4,0.44411,0.42577,0.41967,0.43182,0.48127,0.11333251361615893,0.18274307475005,0.12921893197999343,0.13620870638990762,0.07722310700675371,0.4667765027232318,0.46231861495001,0.4455137863959987,0.4590617412779815,0.4967146214013507
4,1,-0.4,action = 4,66,4,0.49376,0.48137,0.47513,0.46889,0.51229,0.1135395765526116,0.1830769534973466,0.12945502002434472,0.13645756502557713,0.07601863017860994,0.5164679153105223,0.5179853906994694,0.5010210040048689,0.49618151300511537,0.527493726035722
4,1,-0.4,action = 4,67,4,0.46274,0.42681,0.4444,0.43252,0.5,0.11374315715701172,0.18340521715638403,0.12968713759972578,0.13670223841970416,0.0748749287619225,0.4854886314314023,0.46349104343127684,0.4703374275199452,0.45986044768394085,0.5149749857523845
4,0,0.6,action = 4,68,4,0.45645,0.42572,0.41953,0.41371,0.50624,0.1139433659513282,0.1837280439383727,0.12991541072055499,0.13694285940314135,0.07378701996216415,0.47923867319026564,0.4624656087876745,0.445513082144111,0.4410985718806283,0.5209974039924329
