note,action,label,regret,trial,optimal_action,Q_value_0,Q_value_1,Q_value_2,Q_value_3,Q_value_4,U_value_0,U_value_1,U_value_2,U_value_3,U_value_4,UCB_value_0,UCB_value_1,UCB_value_2,UCB_value_3,UCB_value_4
action = 2,2,0,0.6,71,2,0.55584,0.58643,0.62774,0.57437,0.53735,0.04636809247747852,0.08087026647662292,0.09539392014169457,0.07362064927722385,0.0945515732285825,0.7876804623873926,0.9907813323831146,1.104709600708473,0.9424732463861193,1.0101078661429126
action = 3,3,1,-0.4,72,2,0.56794,0.60983,0.65021,0.58643,0.58966,0.0,0.0,0.0,0.013038404810405298,0.0,0.56794,0.60983,0.65021,0.6516220240520265,0.58966
action = 2,2,1,-0.4,73,2,0.56753,0.61483,0.62626,0.59229,0.57992,0.033166247903554,0.07148426400264607,0.08544003745317531,0.037682887362833546,0.0,0.73336123951777,0.9722513200132303,1.0534601872658766,0.7807044368141677,0.57992
action = 4,4,0,0.6,74,2,0.57414,0.62196,0.65671,0.60444,0.57385,0.027018512172212593,0.0,0.0,0.0,0.03807886552931954,0.709232560861063,0.62196,0.65671,0.60444,0.7642443276465977
action = 1,1,0,0.6,75,2,0.55574,0.60403,0.62108,0.58633,0.57428,0.0687749954561976,0.07602631123499286,0.05477225575051661,0.03674234614174767,0.0,0.899614977280988,0.9841615561749643,0.894941278752583,0.7700417307087384,0.57428
action = 2,2,1,-0.4,76,2,0.59253,0.61054,0.62155,0.59267,0.55598,0.0,0.0,0.04301162633521313,0.0,0.0,0.59253,0.61054,0.8366081316760657,0.59267,0.55598
action = 4,4,0,0.6,77,2,0.58,0.60896,0.64472,0.59229,0.53073,0.0,0.0,0.0,0.0,0.028635642126552705,0.58,0.60896,0.64472,0.59229,0.6739082106327636
action = 0,0,1,-0.4,78,2,0.56143,0.58038,0.62196,0.5679,0.53111,0.048887626246321265,0.0,0.0,0.0,0.0,0.8058681312316063,0.58038,0.62196,0.5679,0.53111
action = 2,2,0,0.6,79,2,0.58601,0.56142,0.6104,0.56775,0.52408,0.0,0.0354964786985977,0.06942621983083912,0.0,0.0,0.58601,0.7389023934929886,0.9575310991541957,0.56775,0.52408
action = 1,1,1,-0.4,80,2,0.56794,0.57981,0.62643,0.56156,0.52449,0.048682645778552344,0.06663332499583073,0.05244044240850758,0.06316644678941502,0.0,0.8113532288927617,0.9129766249791538,0.888632212042538,0.877392233947075,0.52449
action = 0,0,1,-0.4,81,2,0.58633,0.60983,0.62157,0.57929,0.53032,0.04847679857416329,0.010954451150103323,0.01788854381999832,0.01816590212458495,0.011832159566199232,0.8287139928708165,0.6646022557505166,0.7110127190999915,0.6701195106229247,0.5894807978309962
action = 2,2,1,-0.4,82,2,0.60997,0.62784,0.62157,0.58601,0.54275,0.0,0.0,0.06308724118235001,0.03,0.0,0.60997,0.62784,0.93700620591175,0.73601,0.54275
