action,label,regret,note,trial,Q_value_0,Q_value_1,Q_value_2,Q_value_3,Q_value_4,U_value_0,U_value_1,U_value_2,U_value_3,U_value_4,UCB_value_0,UCB_value_1,UCB_value_2,UCB_value_3,UCB_value_4
1,1,-0.4,action = 1,43,0.32283,0.48756,0.41962,0.46269,0.33102,0.0,0.03807886552931954,0.0,0.018973665961010275,0.0,0.32283,1.249137310586391,0.41962,0.8421633192202055,0.33102
4,0,0.6,action = 4,44,0.33241,0.49381,0.44421,0.47513,0.37194,0.028982753492378877,0.03674234614174767,0.0232379000772445,0.0,0.07918333157931662,0.9120650698475775,1.2286569228349535,0.90896800154489,0.47513,1.9556066315863323
0,0,0.6,action = 0,45,0.33219,0.5,0.44426,0.49376,0.33219,0.0888819441731559,0.021908902300206645,0.03286335345030997,0.034785054261852175,0.0,2.109828883463118,0.9381780460041329,1.1015270690061993,1.1894610852370435,0.33219
3,1,-0.4,action = 3,46,0.29322,0.5,0.42563,0.52492,0.33356,0.0,0.028106938645110394,0.015491933384829668,0.04277849927241487,0.0,0.29322,1.0621387729022078,0.7354686676965934,1.3804899854482975,0.33356
0,0,0.6,action = 0,47,0.31256,0.50619,0.4505,0.54317,0.33973,0.10502380682492898,0.021213203435596427,0.051478150704935,0.0,0.09418067742376883,2.4130361364985795,0.9304540687119286,1.4800630140987,0.54317,2.2233435484753765
2,0,0.6,action = 2,48,0.26643,0.49395,0.4383,0.54331,0.30426,0.05089204259999789,0.01870828693386971,0.0458257569495584,0.0,0.0,1.2842708519999577,0.8681157386773941,1.354815138991168,0.54331,0.30426
2,0,0.6,action = 2,49,0.25513,0.50005,0.41412,0.53102,0.33658,0.0,0.05253570214625479,0.07035623639735145,0.0,0.05612486080160912,0.25513,1.550764042925096,1.821244727947029,0.53102,1.4590772160321825
3,1,-0.4,action = 3,50,0.25326,0.55245,0.36137,0.50624,0.33305,0.0,0.0,0.0,0.05338539126015656,0.0,0.25326,0.55245,0.36137,1.5739478252031311,0.33305
0,0,0.6,action = 0,51,0.28492,0.50624,0.40779,0.5618,0.35464,0.13311649033834988,0.044384682042344296,0.05665686189686118,0.0,0.10788883167408941,2.947249806766998,1.3939336408468859,1.5409272379372236,0.5618,2.512416633481788
3,1,-0.4,action = 3,52,0.22509,0.52492,0.38978,0.53097,0.3168,0.07771743691090179,0.0658027355054484,0.0,0.1138859078200635,0.05549774770204643,1.7794387382180357,1.8409747101089682,0.38978,2.80868815640127,1.4267549540409286
0,0,0.6,action = 0,53,0.20384,0.5556,0.42008,0.63895,0.30643,0.12099586769803339,0.08,0.05477225575051661,0.048682645778552344,0.10981803130633876,2.623757353960668,2.1556,1.5155251150103322,1.6126029155710468,2.5027906261267754
